scene_id,datetime,collection,cloudcov,tile,xmin,ymin,xmax,ymax
S2B_MSIL2A_20170929T065639_R063_T39QXG_20210202T114127,2017-09-29 06:56:39.027000+00:00,sentinel-2-l2a,0.397227,S2B_MSIL2A_20170929T065639_R063_T39QXG_20210202T114127_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20170929T065639_R063_T39QXG_20210202T114127,2017-09-29 06:56:39.027000+00:00,sentinel-2-l2a,0.397227,S2B_MSIL2A_20170929T065639_R063_T39QXG_20210202T114127_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20170927T070641_R106_T39QXG_20210202T103201,2017-09-27 07:06:41.026000+00:00,sentinel-2-l2a,1.480184,S2A_MSIL2A_20170927T070641_R106_T39QXG_20210202T103201_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20170927T070641_R106_T39QXG_20210202T103201,2017-09-27 07:06:41.026000+00:00,sentinel-2-l2a,1.480184,S2A_MSIL2A_20170927T070641_R106_T39QXG_20210202T103201_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20170922T070609_R106_T39QXG_20210202T080641,2017-09-22 07:06:09.027000+00:00,sentinel-2-l2a,2.586906,S2B_MSIL2A_20170922T070609_R106_T39QXG_20210202T080641_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20170922T070609_R106_T39QXG_20210202T080641,2017-09-22 07:06:09.027000+00:00,sentinel-2-l2a,2.586906,S2B_MSIL2A_20170922T070609_R106_T39QXG_20210202T080641_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20170917T071301_R106_T39QXG_20210202T043333,2017-09-17 07:13:01.026000+00:00,sentinel-2-l2a,4.038558,S2A_MSIL2A_20170917T071301_R106_T39QXG_20210202T043333_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20170917T071301_R106_T39QXG_20210202T043333,2017-09-17 07:13:01.026000+00:00,sentinel-2-l2a,4.038558,S2A_MSIL2A_20170917T071301_R106_T39QXG_20210202T043333_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20170914T065621_R063_T39QXG_20210202T021706,2017-09-14 06:56:21.026000+00:00,sentinel-2-l2a,0.799516,S2A_MSIL2A_20170914T065621_R063_T39QXG_20210202T021706_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20170914T065621_R063_T39QXG_20210202T021706,2017-09-14 06:56:21.026000+00:00,sentinel-2-l2a,0.799516,S2A_MSIL2A_20170914T065621_R063_T39QXG_20210202T021706_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20170912T071259_R106_T39QXG_20210202T011738,2017-09-12 07:12:59.027000+00:00,sentinel-2-l2a,3.03325,S2B_MSIL2A_20170912T071259_R106_T39QXG_20210202T011738_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20170912T071259_R106_T39QXG_20210202T011738,2017-09-12 07:12:59.027000+00:00,sentinel-2-l2a,3.03325,S2B_MSIL2A_20170912T071259_R106_T39QXG_20210202T011738_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815,2017-09-09 06:56:19.027000+00:00,sentinel-2-l2a,0.612307,S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815,2017-09-09 06:56:19.027000+00:00,sentinel-2-l2a,0.612307,S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20170907T070621_R106_T39QXG_20210201T203205,2017-09-07 07:06:21.026000+00:00,sentinel-2-l2a,5.961708,S2A_MSIL2A_20170907T070621_R106_T39QXG_20210201T203205_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20170907T070621_R106_T39QXG_20210201T203205,2017-09-07 07:06:21.026000+00:00,sentinel-2-l2a,5.961708,S2A_MSIL2A_20170907T070621_R106_T39QXG_20210201T203205_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20170902T070619_R106_T39QXG_20210201T170451,2017-09-02 07:06:19.027000+00:00,sentinel-2-l2a,15.537227,S2B_MSIL2A_20170902T070619_R106_T39QXG_20210201T170451_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20170902T070619_R106_T39QXG_20210201T170451,2017-09-02 07:06:19.027000+00:00,sentinel-2-l2a,15.537227,S2B_MSIL2A_20170902T070619_R106_T39QXG_20210201T170451_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20170828T071311_R106_T39QXG_20210201T130813,2017-08-28 07:13:11.026000+00:00,sentinel-2-l2a,5.548211,S2A_MSIL2A_20170828T071311_R106_T39QXG_20210201T130813_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20170828T071311_R106_T39QXG_20210201T130813,2017-08-28 07:13:11.026000+00:00,sentinel-2-l2a,5.548211,S2A_MSIL2A_20170828T071311_R106_T39QXG_20210201T130813_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547,2017-08-25 06:56:21.026000+00:00,sentinel-2-l2a,2.565131,S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547,2017-08-25 06:56:21.026000+00:00,sentinel-2-l2a,2.565131,S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237,2017-08-20 06:56:19.027000+00:00,sentinel-2-l2a,19.250925,S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237,2017-08-20 06:56:19.027000+00:00,sentinel-2-l2a,19.250925,S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
